,Aircraft,Flight Type,Origin,Destination,Departure Time,Arrival Time,Estimated Arrival Time,RealArrivalTime,EA_Time_Minutes,RA_Time_Minutes,Delay_Time
55,JBU1366,A320,Cancun Int'l (CUN / MMUN),Tampa Intl (KTPA),Mon 03:46PM EST,Mon 05:15PM EST,0 days 01:29:00,1h 57m,89,117,28
56,JBU1680,A320,Fort Lauderdale Intl (KFLL),Reagan National (KDCA),Mon 03:43PM EST,Mon 05:37PM EST,0 days 02:19:00,2h 18m,139,138,-1
57,LDA7212,A320,Cologne Bonn (CGN / EDDK),Palma de Mallorca (or Son Sant Joan) (PMI / LEPA),Mon 09:45PM CET,Mon 11:47PM CET,0 days 03:26:00,3h 47m,206,227,21
58,NKS1085,A320,Miami Intl (KMIA),Minneapolis/St Paul Intl (KMSP),Mon 03:42PM EST,Mon 06:09PM CST,0 days 02:55:00,3h 50m,175,230,55
59,NKS886,A320,Queen Beatrix Int'l (AUA / TNCA),Fort Lauderdale Intl (KFLL),Mon 04:44PM AST,Mon 06:39PM EST,0 days 01:20:00,3h 09m,80,189,109
60,SKX5138,A320,Rodriguez Ballon Int'l (AQP / SPQU),Jorge Chávez Int'l (LIM / SPJC),Mon 03:46PM -05,Mon 05:06PM -05,0 days 02:05:00,1h 40m,125,100,-25
61,SWR1254,A320,Zurich (Kloten) (ZRH / LSZH),Stockholm-Arlanda (ARN / ESSA),Mon 09:42PM CET,Mon 11:47PM CET,0 days 01:05:00,2h 24m,65,144,79
62,SWR962,A320,Zurich (Kloten) (ZRH / LSZH),Berlin-Brandenburg (BER / EDDB),Mon 09:44PM CET,Mon 10:49PM CET,0 days 00:40:00,1h 26m,40,86,46
63,TAM3070,A320,São Paulo-Congonhas (CGH / SBSP),Afonso Pena Int'l (CWB / SBCT),Mon 05:45PM -03,Mon 06:25PM -03,0 days 00:55:00,0h 35m,55,35,-20
64,TAM3481,A320,Afonso Pena Int'l (CWB / SBCT),Foz do Iguacu Int'l (Cataratas Int'l) (IGU / SBFI),Mon 05:44PM -03,Mon 06:35PM -03,0 days 02:20:00,2h 35m,140,155,15
65,TAM3743,A320,Pinto Martins Int'l (FOR / SBFZ),Presidente Juscelino Kubitschek Int'l (BSB / SBBR),Mon 05:42PM -03,Mon 08:02PM -03,0 days 02:53:00,2h 30m,173,150,-23
66,UAL1245,A320,Salt Lake City Intl (KSLC),Houston Bush Int'ctl (KIAH),Mon 01:44PM MST,Mon 05:37PM CST,0 days 01:05:00,3h 18m,65,198,133
67,UAL250,A320,Albuquerque Intl Sunport (KABQ),Denver Intl (KDEN),Mon 01:44PM MST,Mon 02:49PM MST,0 days 02:30:00,2h 34m,150,154,4
68,UAL535,A320,Denver Intl (KDEN),San Jose Int'l (KSJC),Mon 01:46PM MST,Mon 03:16PM PST,0 days 01:24:00,2h 51m,84,171,87
69,VIV570,A320,Queretaro Intercontinental Airport (QRO / MMQT),San Antonio Intl (KSAT),Mon 02:44PM CST,Mon 04:40PM CST,0 days 01:56:00,2h 06m,116,126,10
70,AVA5217,A320,Simon Bolivar (SMR / SKSM),El Dorado Int'l (BOG / SKBO),Mon 04:25PM -05,Mon 05:24PM -05,0 days 00:37:00,0h 45m,37,45,8
71,DLH1410,A320,Frankfurt Int'l (FRA / EDDF),Belgrade Nikola Tesla Int'l (BEG / LYBE),Mon 10:24PM CET,Mon 11:55PM CET,0 days 01:35:00,1h 50m,95,110,15
72,ITY1783,A320,Leonardo da Vinci Int'l (Fiumicino Int'l) (FCO / LIRF),Palermo Int'l (Punta Raisi Falcone-Borsellino) (PMO / LICJ),Mon 10:24PM CET,Mon 11:09PM CET,0 days 00:32:00,0h 40m,32,40,8
73,NKS2047,A320,Orlando Intl (KMCO),Manchester Boston Rgnl (KMHT),Mon 04:24PM EST,Mon 06:58PM EST,0 days 02:35:00,2h 53m,155,173,18
74,TAP1936,A320,General Humberto Delgado Airport (LIS / LPPT),Porto / Oporto (OPO / LPPR),Mon 09:24PM WET,Mon 10:06PM WET,0 days 00:42:00,0h 55m,42,55,13
75,AAY2665,A320,Pittsburgh Intl (KPIT),Clearwater Intl (KPIE),Mon 04:24PM EST,Mon 06:35PM EST,0 days 02:02:00,2h 15m,122,135,13
76,LDA2367,A320,Košice Int'l (KSC / LZKZ),London Stansted (STN / EGSS),Mon 10:24PM CET,Mon 11:22PM GMT,0 days 01:41:00,1h 48m,101,108,7
77,ANZ418,A320,Wellington Int'l (WLG / NZWN),Auckland (AKL / NZAA),Tue 10:24AM NZDT,Tue 11:16AM NZDT,0 days 00:42:00,0h 58m,42,58,16
78,GAP2836,A320,Mactan-Cebu Int'l (CEB / RPVM),Manila Int'l (MNL / RPLL),Tue 05:24AM PST,Tue 06:29AM PST,0 days 01:05:00,1h 20m,65,80,15
79,PGT2206,A320,Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),İzmir Adnan Menderes Int'l (ADB / LTBJ),Tue 12:24AM +03,Tue 01:00AM +03,0 days 00:55:00,1h 10m,55,70,15
80,TAM4511,A320,Campo Grande Int'l (CGR / SBCG),Presidente Juscelino Kubitschek Int'l (BSB / SBBR),Mon 05:24PM -04,Mon 07:25PM -03,0 days 01:10:00,1h 35m,70,95,25
81,GAP2557,A320,Manila Int'l (MNL / RPLL),Dipolog (DPL / RPMG),Tue 05:23AM PST,Tue 06:09AM PST,0 days 01:10:00,1h 30m,70,90,20
82,AAY3187,A320,Punta Gorda (KPGD),Appleton Intl (KATW),Tue 04:10PM EST,Tue 06:09PM CST,0 days 02:32:00,2h 42m,152,162,10
83,ABY945,A320,Kazan (KZN / UWKD),Sharjah Int'l (SHJ / OMSJ),Wed 12:11AM MSK,Wed 05:51AM +04,0 days 04:40:00,4h 40m,280,280,0
84,AEE218,A320,Athens Int'l  Eleftherios Venizelos (ATH / LGAV),Rhodes Int'l  Diagoras (RHO / LGRP),Tue 11:10PM EET,Tue 11:59PM EET,0 days 00:25:00,0h 59m,25,59,34
85,AVA4813,A320,El Dorado Int'l (BOG / SKBO),El Alcaravan (EYP / SKYP),Tue 04:09PM -05,Tue 04:36PM -05,0 days 00:41:00,1h 01m,41,61,20
86,AVA8518,A320,Matecana Int'l (PEI / SKPE),El Dorado Int'l (BOG / SKBO),Tue 04:13PM -05,Tue 04:51PM -05,0 days 00:38:00,1h 02m,38,62,24
87,AVA8598,A320,Antonio Narino (PSO / SKPS),El Dorado Int'l (BOG / SKBO),Tue 04:13PM -05,Tue 04:33PM -05,0 days 00:20:00,1h 18m,20,78,58
88,AVA9205,A320,El Dorado Int'l (BOG / SKBO),Alfonso Bonilla Aragon Int'l (CLO / SKCL),Tue 04:10PM -05,Tue 05:00PM -05,0 days 00:50:00,1h 39m,50,99,49
89,AVA9547,A320,Rafael Nunez Int'l (CTG / SKCG),El Dorado Int'l (BOG / SKBO),Tue 04:08PM -05,Tue 04:43PM -05,0 days 00:35:00,1h 31m,35,91,56
90,CEB203,A320,Mactan-Cebu Int'l (CEB / RPVM),Laguindingan Intl (CGY / RPMY),Wed 05:10AM PST,Wed 05:45AM PST,0 days 00:35:00,0h 35m,35,35,0
91,CEB551,A320,Manila Int'l (MNL / RPLL),Mactan-Cebu Int'l (CEB / RPVM),Wed 05:11AM PST,Wed 06:05AM PST,0 days 00:55:00,1h 04m,55,64,9
92,DAL1389,A320,Detroit Metro Wayne Co (KDTW),Boston Logan Intl (KBOS),Tue 04:09PM EST,Tue 05:30PM EST,0 days 01:21:00,1h 50m,81,110,29
93,DAL2050,A320,Hartsfield-Jackson Intl (KATL),Buffalo Niagara Intl (KBUF),Tue 04:08PM EST,Tue 05:36PM EST,0 days 01:28:00,1h 53m,88,113,25
94,DAL2260,A320,Austin-Bergstrom Intl (KAUS),Harry Reid Intl (KLAS),Tue 03:12PM CST,Tue 03:49PM PST,0 days 02:38:00,3h 01m,158,181,23
95,EZY2114,A320,Charles de Gaulle/Roissy (CDG / LFPG),Manchester (MAN / EGCC),Tue 10:10PM CET,Tue 10:00PM GMT,0 days 01:00:00,1h 22m,60,82,22
96,EZY2168,A320,Amsterdam Schiphol (AMS / EHAM),Manchester (MAN / EGCC),Tue 10:11PM CET,Tue 10:05PM GMT,0 days 00:57:00,1h 15m,57,75,18
97,EZY3302,A320,Amsterdam Schiphol (AMS / EHAM),Edinburgh (EDI / EGPH),Tue 10:13PM CET,Tue 10:16PM GMT,0 days 01:03:00,1h 15m,63,75,12
98,EZY7652,A320,Adolfo Suárez Madrid-Barajas (MAD / LEMD),General Humberto Delgado Airport (LIS / LPPT),Tue 10:13PM CET,Tue 10:12PM WET,0 days 00:59:00,1h 13m,59,73,14
99,GAP2203,A320,Manila Int'l (MNL / RPLL),Roxas (RXS / RPVR),Wed 05:09AM PST,Wed 05:30AM PST,0 days 00:21:00,1h 34m,21,94,73
100,GAP2967,A320,Manila Int'l (MNL / RPLL),Bancasi (Butuan) (BXU / RPME),Wed 05:13AM PST,Wed 06:33AM PST,0 days 01:20:00,1h 52m,80,112,32
101,IBS3849,A320,Gran Canaria Int'l (LPA / GCLP),Adolfo Suárez Madrid-Barajas (MAD / LEMD),Tue 09:13PM WET,Wed 12:22AM CET,0 days 02:09:00,2h 22m,129,142,13
102,ITY1603,A320,Leonardo da Vinci Int'l (Fiumicino Int'l) (FCO / LIRF),Palese Macchie (BRI / LIBD),Tue 10:11PM CET,Tue 11:04PM CET,0 days 00:45:00,1h 07m,45,67,22
103,JBU1130,A320,Fort Lauderdale Intl (KFLL),Charleston Intl/AFB (KCHS),Tue 04:12PM EST,Tue 05:21PM EST,0 days 01:05:00,1h 30m,65,90,25
104,JBU1754,A320,Luis Munoz Marin Intl (SJU / TJSJ),Fort Lauderdale Intl (KFLL),Tue 05:09PM AST,Tue 06:33PM EST,0 days 02:43:00,2h 59m,163,179,16
105,JBU371,A320,LaGuardia (KLGA),Fort Lauderdale Intl (KFLL),Tue 04:10PM EST,Tue 06:35PM EST,0 days 02:58:00,3h 06m,178,186,8
106,JST403,A320,Gold Coast (OOL / YBCG),Sydney (SYD / YSSY),Wed 07:11AM AEST,Wed 09:21AM AEDT,0 days 00:50:00,1h 20m,50,80,30
107,JZR228,A320,King Khalid Int'l (RUH / OERK),Kuwait Int'l (KWI / OKKK),Wed 12:11AM +03,Wed 01:01AM +03,0 days 00:50:00,1h 00m,50,60,10
108,KAC382,A320,Indira Gandhi Int'l (DEL / VIDP),Kuwait Int'l (KWI / OKKK),Wed 02:40AM IST,Wed 04:55AM +03,0 days 04:45:00,4h 55m,285,295,10
109,LPE2330,A320,Jorge Chávez Int'l (LIM / SPJC),Rodriguez Ballon Int'l (AQP / SPQU),Tue 04:09PM -05,Tue 05:24PM -05,0 days 01:15:00,1h 39m,75,99,24
110,PIA258,A320,Sharjah Int'l (SHJ / OMSJ),Peshawar Int'l (PEW / OPPS),Wed 01:10AM +04,Wed 04:40AM PKT,0 days 02:30:00,2h 40m,150,160,10
111,SVA1054,A320,King Abdulaziz Int'l (JED / OEJN),King Khalid Int'l (RUH / OERK),Wed 12:10AM +03,Wed 01:35AM +03,0 days 01:25:00,1h 35m,85,95,10
112,TAI316,A320,Tocumen Int'l (PTY / MPTO),El Salvador Int'l (SAL / MSLP),Tue 04:09PM EST,Tue 04:33PM CST,0 days 01:24:00,2h 05m,84,125,41
113,TAM3102,A320,São Paulo-Congonhas (CGH / SBSP),Santa Genoveva (GYN / SBGO),Tue 06:12PM -03,Tue 07:37PM -03,0 days 01:25:00,1h 35m,85,95,10
114,TAM3631,A320,Deputado Luis Eduardo Magalhaes Int'l (Dois de Julho) (SSA / SBSV),São Paulo-Congonhas (CGH / SBSP),Tue 06:12PM -03,Tue 08:32PM -03,0 days 02:20:00,2h 30m,140,150,10
115,TAP1549,A320,General Humberto Delgado Airport (LIS / LPPT),Amilcar Cabral Int'l (SID / GVAC),Tue 09:12PM WET,Wed 12:02AM -01,0 days 03:50:00,4h 07m,230,247,17
116,THA314,A320,Netaji Subhash Chandra Bose Int'l (CCU / VECC),Suvarnabhumi Bangkok Int'l (BKK / VTBS),Wed 02:42AM IST,Wed 06:17AM +07,0 days 02:05:00,2h 15m,125,135,10
117,UAL1243,A320,Lic. Gustavo Diaz Ordaz Int'l (PVR / MMPR),San Francisco Int'l (KSFO),Tue 03:09PM CST,Tue 05:05PM PST,0 days 03:57:00,4h 26m,237,266,29
118,VOI135,A320,Xoxocotlan Int'l (OAX / MMOX),Cancun Int'l (CUN / MMUN),Tue 03:12PM CST,Tue 05:55PM EST,0 days 01:43:00,2h 05m,103,125,22
119,AAL1571,A320,John Glenn Columbus Intl Airport (KCMH),Charlotte/Douglas Intl (KCLT),Tue 04:27PM EST,Tue 05:23PM EST,0 days 00:54:00,1h 25m,54,85,31
120,AAL1742,A320,General Mariano Escobedo Int'l (MTY / MMMY),Dallas-Fort Worth Intl (KDFW),Tue 03:26PM CST,Tue 04:54PM CST,0 days 01:23:00,1h 43m,83,103,20
121,AAL2840,A320,Chicago O'Hare Intl (KORD),Philadelphia Intl (KPHL),Tue 03:25PM CST,Tue 05:58PM EST,0 days 01:37:00,1h 49m,97,109,12
122,ANZ418,A320,Wellington Int'l (WLG / NZWN),Auckland (AKL / NZAA),Wed 10:24AM NZDT,Wed 11:08AM NZDT,0 days 00:39:00,0h 59m,39,59,20
123,ARE4005,A320,Jose Maria Cordova Int'l (MDE / SKRG),El Dorado Int'l (BOG / SKBO),Tue 04:29PM -05,Tue 05:02PM -05,0 days 00:33:00,0h 37m,33,37,4
124,ARE4176,A320,El Dorado Int'l (BOG / SKBO),Palonegro (BGA / SKBG),Tue 04:24PM -05,Tue 04:55PM -05,0 days 00:13:00,0h 43m,13,43,30
125,AUA220,A320,Frankfurt Int'l (FRA / EDDF),Vienna Int'l (Schwechat) (VIE / LOWW),Tue 10:26PM CET,Tue 11:16PM CET,0 days 00:56:00,1h 00m,56,60,4
126,AVA9552,A320,El Dorado Int'l (BOG / SKBO),Rafael Nunez Int'l (CTG / SKCG),Tue 04:28PM -05,Tue 05:43PM -05,0 days 01:15:00,1h 15m,75,75,0
127,AVA9776,A320,El Dorado Int'l (BOG / SKBO),Gustavo Rojas Pinilla Int'l (Sesquicentenario) (ADZ / SKSP),Tue 04:29PM -05,Tue 05:57PM -05,0 days 01:52:00,1h 54m,112,114,2
128,AZU2700,A320,Viracopos Int'l (VCP / SBKP),Campo Grande Int'l (CGR / SBCG),Tue 06:25PM -03,Tue 06:46PM -04,0 days 01:18:00,1h 40m,78,100,22
129,AZU4555,A320,Sinop (OPS / SBSI),Viracopos Int'l (VCP / SBKP),Tue 05:24PM -04,Tue 08:28PM -03,0 days 01:57:00,2h 20m,117,140,23
130,CRK764,A320,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Hong Kong Int'l (HKG / VHHH),Wed 04:24AM +07,Wed 07:31AM HKT,0 days 02:25:00,2h 25m,145,145,0
131,DAL715,A320,Minneapolis/St Paul Intl (KMSP),Chicago O'Hare Intl (KORD),Tue 03:26PM CST,Tue 04:21PM CST,0 days 00:55:00,1h 10m,55,70,15
132,DLH1682,A320,Munich Int'l (MUC / EDDM),Budapest Ferenc Liszt International Airport (BUD / LHBP),Tue 10:26PM CET,Tue 11:15PM CET,0 days 00:55:00,0h 55m,55,55,0
133,EZY318,A320,London Stansted (STN / EGSS),Edinburgh (EDI / EGPH),Tue 09:25PM GMT,Tue 10:18PM GMT,0 days 00:48:00,1h 15m,48,75,27
134,EZY340,A320,Birmingham Int'l (BHX / EGBB),Edinburgh (EDI / EGPH),Tue 09:24PM GMT,Tue 10:19PM GMT,0 days 00:39:00,1h 05m,39,65,26
135,EZY7756,A320,Madeira Int'l (Funchal) (FNC / LPMA),Porto / Oporto (OPO / LPPR),Tue 09:28PM WET,Tue 10:59PM WET,0 days 01:31:00,2h 00m,91,120,29
136,FAD764,A320,Cairo Int'l (CAI / HECA),King Abdulaziz Int'l (JED / OEJN),Tue 11:27PM EET,Wed 02:05AM +03,0 days 01:55:00,1h 55m,115,115,0
137,GXA6135,A320,Boeing Field Intl (KBFI),El Paso Intl (KELP),Tue 01:29PM PST,Tue 05:15PM MST,0 days 02:45:00,2h 52m,165,172,7
138,IBE442,A320,Adolfo Suárez Madrid-Barajas (MAD / LEMD),Bilbao (BIO / LEBB),Tue 10:28PM CET,Tue 11:13PM CET,0 days 00:45:00,0h 45m,45,45,0
139,IGO1027,A320,Rajiv Gandhi Int'l (HYD / VOHS),Singapore Changi (SIN / WSSS),Wed 02:55AM IST,Wed 09:34AM +08,0 days 04:30:00,4h 20m,270,260,-10
140,IYE611,A320,Cairo Int'l (CAI / HECA),Aden Int'l (ADE / OYAA),Tue 11:24PM EET,Wed 03:34AM +03,0 days 03:10:00,3h 10m,190,190,0
141,JST759,A320,Brisbane (BNE / YBBN),Hobart Int'l (HBA / YMHB),Wed 07:25AM AEST,Wed 10:44AM AEDT,0 days 02:19:00,2h 20m,139,140,1
142,JZR735,A320,Kuwait Int'l (KWI / OKKK),Cairo Int'l (CAI / HECA),Wed 12:29AM +03,Wed 02:14AM EET,0 days 02:45:00,2h 45m,165,165,0
143,LAP1301,A320,Silvio Pettirossi Int'l (ASU / SGAS),São Paulo-Guarulhos Int'l (GRU / SBGR),Tue 06:25PM -03,Tue 08:15PM -03,0 days 01:50:00,1h 50m,110,110,0
144,LPE2145,A320,Jorge Chávez Int'l (LIM / SPJC),Capitan FAP Carlos Martinez de Pinillos (TRU / SPRU),Tue 04:26PM -05,Tue 05:21PM -05,0 days 00:55:00,0h 55m,55,55,0
145,LPE2411,A320,Jose Marti Int'l (HAV / MUHA),Jorge Chávez Int'l (LIM / SPJC),Tue 04:28PM CST,Tue 09:30PM -05,0 days 05:05:00,5h 05m,305,305,0
146,NKS2090,A320,Fort Lauderdale Intl (KFLL),Detroit Metro Wayne Co (KDTW),Tue 04:24PM EST,Tue 06:50PM EST,0 days 02:35:00,2h 49m,155,169,14
147,ROU1872,A320,Guanacaste (LIR / MRLB),Toronto Pearson Int'l (CYYZ),Tue 03:27PM CST,Tue 09:10PM EST,0 days 05:05:00,5h 25m,305,325,20
148,SIF714,A320,Jinnah Int'l (KHI / OPKC),King Abdulaziz Int'l (JED / OEJN),Wed 02:26AM PKT,Wed 04:26AM +03,0 days 04:00:00,3h 54m,240,234,-6
149,SVA1002,A320,King Abdulaziz Int'l (JED / OEJN),King Khalid Int'l (RUH / OERK),Wed 12:24AM +03,Wed 01:48AM +03,0 days 01:25:00,1h 54m,85,114,29
150,TAI539,A320,Ramon Villeda Morales Int'l (SAP / MHLM),El Salvador Int'l (SAL / MSLP),Tue 03:26PM CST,Tue 03:46PM CST,0 days 00:20:00,0h 40m,20,40,20
151,UAL1095,A320,Roberts Fld (KRDM),Denver Intl (KDEN),Tue 01:25PM PST,Tue 04:16PM MST,0 days 01:55:00,1h 42m,115,102,-13
152,VIV2134,A320,Cancun Int'l (CUN / MMUN),Don Miguel Hidalgo y Costilla Int'l (GDL / MMGL),Tue 04:29PM EST,Tue 06:19PM CST,0 days 02:50:00,2h 40m,170,160,-10
153,VIV9066,A320,Del Bajio Guanajuato Int'l (BJX / MMLO),Abraham Gonzalez Int'l (CJS / MMCS),Tue 03:29PM CST,Tue 05:19PM CST,0 days 01:50:00,1h 50m,110,110,0
154,VLG3066,A320,Malaga (AGP / LEMG),Gran Canaria Int'l (LPA / GCLP),Tue 10:26PM CET,Tue 11:22PM WET,0 days 02:05:00,2h 05m,125,125,0
155,AAL1571,A320,John Glenn Columbus Intl Airport (KCMH),Charlotte/Douglas Intl (KCLT),Tue 04:27PM EST,Tue 05:23PM EST,0 days 00:54:00,1h 25m,54,85,31
156,TAM3760,A320,Presidente Juscelino Kubitschek Int'l (BSB / SBBR),Zumbi dos Palmares (Campo dos Palmares) (MCZ / SBMO),Tue 06:16PM -03,Tue 08:25PM -03,0 days 02:00:00,2h 15m,120,135,15
157,EZY3530,A320,Palese Macchie (BRI / LIBD),Malpensa Int'l (MXP / LIMC),Tue 10:16PM CET,Tue 11:37PM CET,0 days 01:19:00,1h 35m,79,95,16
158,NKS1148,A320,Orlando Intl (KMCO),Charlotte/Douglas Intl (KCLT),Tue 04:16PM EST,Tue 05:23PM EST,0 days 01:14:00,1h 25m,74,85,11
159,ANZ417,A320,Auckland (AKL / NZAA),Wellington Int'l (WLG / NZWN),Wed 10:16AM NZDT,Wed 11:06AM NZDT,0 days 00:59:00,1h 10m,59,70,11
160,WMT3762,A320,Bologna (Guglielmo Marconi) (BLQ / LIPE),Craiova (CRA / LRCV),Tue 10:17PM CET,Wed 12:55AM EET,0 days 01:40:00,2h 05m,100,125,25
161,AEE121,A320,"Thessaloniki Int'l, Makedonia (SKG / LGTS)","Athens Int'l, Eleftherios Venizelos (ATH / LGAV)",Wed 06:13PM EET,Wed 06:50PM EET,0 days 00:36:00,0h 47m,36,47,11
162,AFR1185,A320,Tunis-Carthage Int'l (TUN / DTTA),Charles de Gaulle/Roissy (CDG / LFPG),Wed 05:13PM CET,Wed 07:19PM CET,0 days 02:19:00,2h 35m,139,155,16
163,ALK172,A320,Bengaluru Int'l (BLR / VOBL),Bandaranaike Int'l (CMB / VCBI),Wed 09:45PM IST,Wed 10:55PM +0530,0 days 01:10:00,1h 25m,70,85,15
164,AVA8590,A320,El Dorado Int'l (BOG / SKBO),Almirante Padilla (RCH / SKRH),Wed 11:13AM -05,Wed 12:29PM -05,0 days 01:16:00,1h 36m,76,96,20
165,AWQ109,A320,Penang Int'l (PEN / WMKP),Kuala Namu International (KNO / WIMM),Thu 12:13AM +08,Wed 11:43PM WIB,0 days 00:30:00,0h 30m,30,30,0
166,AZU2835,A320,São Paulo-Guarulhos Int'l (GRU / SBGR),Marechal Rondon (CGB / SBCY),Wed 01:12PM -03,Wed 02:03PM -04,0 days 01:51:00,2h 14m,111,134,23
167,BAW368,A320,London Heathrow (LHR / EGLL),Marseille Provence (MRS / LFML),Wed 04:14PM GMT,Wed 06:49PM CET,0 days 01:35:00,2h 03m,95,123,28
168,BAW866,A320,London Heathrow (LHR / EGLL),Budapest Ferenc Liszt International Airport (BUD / LHBP),Wed 04:13PM GMT,Wed 07:23PM CET,0 days 02:23:00,2h 42m,143,162,19
169,BAW905,A320,Frankfurt Int'l (FRA / EDDF),London Heathrow (LHR / EGLL),Wed 05:13PM CET,Wed 05:16PM GMT,0 days 01:14:00,1h 31m,74,91,17
170,BNL103,A320,Benina Int'l (BEN / HLLB),Tunis-Carthage Int'l (TUN / DTTA),Wed 06:14PM EET,Wed 06:44PM CET,0 days 01:30:00,1h 30m,90,90,0
171,CES2830,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Nanjing Lukou Int'l (NKG / ZSNJ),Thu 12:13AM CST,Thu 01:42AM CST,0 days 01:29:00,1h 51m,89,111,22
172,DLH1679,A320,Budapest Ferenc Liszt International Airport (BUD / LHBP),Munich Int'l (MUC / EDDM),Wed 05:14PM CET,Wed 06:09PM CET,0 days 00:55:00,1h 10m,55,70,15
173,EJU1746,A320,Brussels (BRU / EBBR),Nice Cote d'Azur (NCE / LFMN),Wed 05:14PM CET,Wed 06:39PM CET,0 days 01:25:00,1h 31m,85,91,6
174,EJU7666,A320,Madeira Int'l (Funchal) (FNC / LPMA),General Humberto Delgado Airport (LIS / LPPT),Wed 04:13PM WET,Wed 05:27PM WET,0 days 01:14:00,1h 26m,74,86,12
175,EZY1568,A320,Budapest Ferenc Liszt International Airport (BUD / LHBP),Geneva Cointrin Int'l (GVA / LSGG),Wed 05:13PM CET,Wed 06:40PM CET,0 days 01:27:00,1h 11m,87,71,-16
176,EZY533,A320,Liverpool John Lennon (LPL / EGGP),George Best Belfast City (BHD / EGAC),Wed 04:13PM GMT,Wed 04:46PM GMT,0 days 00:32:00,0h 47m,32,47,15
177,EZY8404,A320,Charles de Gaulle/Roissy (CDG / LFPG),London Gatwick (LGW / EGKK),Wed 05:12PM CET,Wed 04:42PM GMT,0 days 00:30:00,0h 40m,30,40,10
178,GBB212,A320,King Shaka Int'l (DUR / FALE),OR Tambo Int'l (JNB / FAOR),Wed 06:13PM SAST,Wed 07:00PM SAST,0 days 00:45:00,1h 05m,45,65,20
179,JBU953,A320,John F Kennedy Intl (KJFK),Palm Beach Intl (KPBI),Wed 11:12AM EST,Wed 01:48PM EST,0 days 02:51:00,2h 37m,171,157,-14
180,NKS3666,A320,New Orleans Intl (KMSY),Detroit Metro Wayne Co (KDTW),Wed 10:12AM CST,Wed 01:02PM EST,0 days 02:01:00,2h 22m,121,142,21
181,SAA422,A320,Port Elizabeth (PLZ / FAPE),OR Tambo Int'l (JNB / FAOR),Wed 06:15PM SAST,Wed 07:30PM SAST,0 days 01:15:00,1h 34m,75,94,19
182,UAL2180,A320,Los Cabos Int'l (SJD / MMSD),Houston Bush Int'ctl (KIAH),Wed 09:14AM MST,Wed 12:27PM CST,0 days 02:13:00,2h 33m,133,153,20
183,VTI864,A320,Bengaluru Int'l (BLR / VOBL),Chatrapati Shivaji Int'l (BOM / VABB),Wed 09:43PM IST,Wed 10:58PM IST,0 days 01:15:00,1h 35m,75,95,20
184,WMT4809,A320,Rinas Mother Teresa (TIA / LATI),Treviso (Sant'Angelo) (TSF / LIPH),Wed 05:15PM CET,Wed 06:40PM CET,0 days 01:25:00,1h 25m,85,85,0
185,AAL2325,A320,Charlotte/Douglas Intl (KCLT),Pensacola Intl (KPNS),Wed 11:40AM EST,Wed 11:56AM CST,0 days 01:16:00,1h 42m,76,102,26
186,AAY948,A320,General Downing - Peoria Intl (KPIA),Punta Gorda (KPGD),Wed 10:40AM CST,Wed 01:58PM EST,0 days 02:18:00,2h 49m,138,169,31
187,AIQ787,A320,Macau Int'l (MFM / VMMC),Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Thu 12:37AM CST,Thu 02:12AM +07,0 days 02:35:00,2h 35m,155,155,0
188,ARE4269,A320,Gustavo Rojas Pinilla Int'l (Sesquicentenario) (ADZ / SKSP),El Dorado Int'l (BOG / SKBO),Wed 11:39AM -05,Wed 01:18PM -05,0 days 01:42:00,2h 02m,102,122,20
189,AUA115,A320,Vienna Int'l (Schwechat) (VIE / LOWW),Munich Int'l (MUC / EDDM),Wed 05:39PM CET,Wed 06:19PM CET,0 days 00:40:00,1h 00m,40,60,20
190,AUA304,A320,Copenhagen (CPH / EKCH),Vienna Int'l (Schwechat) (VIE / LOWW),Wed 05:40PM CET,Wed 07:05PM CET,0 days 01:25:00,1h 52m,85,112,27
191,AUA375,A320,Vienna Int'l (Schwechat) (VIE / LOWW),Amsterdam Schiphol (AMS / EHAM),Wed 05:40PM CET,Wed 07:15PM CET,0 days 01:35:00,1h 45m,95,105,10
192,AVA50,A320,Jorge Chávez Int'l (LIM / SPJC),El Dorado Int'l (BOG / SKBO),Wed 11:40AM -05,Wed 01:43PM -05,0 days 02:03:00,3h 26m,123,206,83
193,AVA8515,A320,El Dorado Int'l (BOG / SKBO),Matecana Int'l (PEI / SKPE),Wed 11:37AM -05,Wed 11:53AM -05,0 days 00:39:00,0h 59m,39,59,20
194,AVA9481,A320,Palonegro (BGA / SKBG),El Dorado Int'l (BOG / SKBO),Wed 11:37AM -05,Wed 12:22PM -05,0 days 00:45:00,1h 06m,45,66,21
195,BAW480,A320,London Heathrow (LHR / EGLL),Barcelona Int'l (BCN / LEBL),Wed 04:38PM GMT,Wed 07:14PM CET,0 days 01:54:00,2h 08m,114,128,14
196,CSZ9005,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Suvarnabhumi Bangkok Int'l (BKK / VTBS),Thu 12:39AM CST,Thu 02:11AM +07,0 days 02:32:00,2h 34m,152,154,2
